Item_Identifier,Low_Fat,Regular,Dairy,Soft_Drinks,Meat,Fruits_Vegetables,Household,Baking,Snack,Fronzen_Foods,Breakfast,Health_Hygiene,Hard_Drinks,Canned,Breads,Starchy,Others,Seafood,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Visibility,Item_Weight,Item_Identifier_8,Item_Identifier_6,Item_Identifier_7,Item_Identifier_3,Item_Identifier_5,Item_Identifier_4,Item_Identifier_9,Item_Identifier_2,Item_Identifier_1,Outlet_Year,Outlet_Freq
FDA15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.8092,OUT049,1999,2,1,2,3735.138,0.017386784625,9.3,1,0,0,0,0,0,0,0,0,5423,5423
DRC01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.2692,OUT018,2009,2,3,3,443.4228,0.019219470166666665,5.92,0,1,0,0,0,0,0,0,0,5436,5436
FDN15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,141.618,OUT049,1999,2,1,2,2097.27,0.020144572285714285,17.5,0,0,1,0,0,0,0,0,0,5423,5423
FDX07,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,182.095,OUT010,1998,1,3,1,732.38,0.022910510000000002,19.2,0,1,0,0,0,0,0,0,0,3400,3400
NCD19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53.8614,OUT013,1987,3,3,2,994.7052,0.016164306,8.93,0,1,0,0,0,0,0,0,0,5485,5485
FDP36,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51.4008,OUT018,2009,2,3,3,556.6088,0.091392321,10.395,0,0,0,1,0,0,0,0,0,5436,5436
FDO10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57.6588,OUT013,1987,3,3,2,343.5528,0.014183264833333334,13.65,1,0,0,0,0,0,0,0,0,5485,5485
FDP10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,107.7622,OUT027,1985,2,3,4,4022.7636,0.12815190314285713,19.0,0,0,1,0,0,0,0,0,0,8702,5481
FDH17,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,96.9726,OUT045,2002,2,2,2,1076.5986,0.01845924942857143,16.2,0,0,1,0,0,0,0,0,0,5471,5471
FDU28,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,187.8214,OUT017,2007,3,2,2,4710.535,0.1081142652,19.2,0,0,0,0,1,0,0,0,0,5419,5419
FDY07,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45.5402,OUT049,1999,2,1,2,1516.0266,0.12187957333333332,11.800000000000002,0,0,1,0,0,0,0,0,0,5423,5423
